1;Manualna;Uszkodzony;Pick-up;Polska;1;-
2;Automatyczna;Uszkodzony;Minivan;Polska;1;-
3;Manualna;U퓓wany;Kombi;Rosja;0;-
4;Automatyczna;U퓓wany;Minivan;Polska;1;-
5;Manualna;Nowy;Sedan;USA;1;-
6;Automatyczna;Uszkodzony;Kombi;Wielka Brytania;0;-
7;Automatyczna;Nowy;Minivan;Wielka Brytania;1;-
8;Automatyczna;Uszkodzony;Kombi;USA;0;-
9;Manualna;U퓓wany;Minivan;Wielka Brytania;1;-
10;Manualna;U퓓wany;Pick-up;Polska;1;-
11;Manualna;Nowy;Pick-up;Wielka Brytania;0;-
12;Manualna;U퓓wany;Hatch-back;Niemcy;1;-
13;Automatyczna;Nowy;Pick-up;Polska;0;-
14;Automatyczna;Uszkodzony;Pick-up;Polska;0;-
15;Manualna;Uszkodzony;Minivan;Polska;1;-
16;Manualna;Nowy;Kombi;Wielka Brytania;1;-
17;Automatyczna;Nowy;Lift-back;Wielka Brytania;1;-
18;Manualna;Nowy;Lift-back;Wielka Brytania;0;-
19;Manualna;Uszkodzony;Kabriolet;Wielka Brytania;0;-
20;Automatyczna;Nowy;Hatch-back;USA;1;-
21;Manualna;Uszkodzony;Minivan;Niemcy;0;-
22;Automatyczna;Uszkodzony;Minivan;Rosja;0;-
23;Manualna;Nowy;Minivan;Rosja;0;-
24;Manualna;Nowy;Lift-back;Niemcy;1;-
25;Manualna;U퓓wany;Pick-up;Rosja;1;-
26;Automatyczna;Uszkodzony;Sedan;Polska;1;-
27;Manualna;Uszkodzony;Hatch-back;Polska;0;-
28;Automatyczna;Nowy;Kabriolet;USA;0;-
29;Automatyczna;Uszkodzony;Minivan;Rosja;1;-
30;Automatyczna;Uszkodzony;Kombi;Niemcy;0;-
31;Manualna;Nowy;Pick-up;Rosja;0;-
32;Automatyczna;Uszkodzony;Kabriolet;Rosja;1;-
33;Automatyczna;Nowy;Kabriolet;Niemcy;1;-
34;Manualna;Uszkodzony;Kombi;Polska;0;-
35;Manualna;Nowy;Hatch-back;Polska;1;-
36;Automatyczna;Nowy;Pick-up;Niemcy;1;-
37;Automatyczna;Uszkodzony;Minivan;Rosja;1;-
38;Automatyczna;U퓓wany;Sedan;Rosja;1;-
39;Manualna;U퓓wany;Lift-back;Polska;1;-
40;Manualna;U퓓wany;Hatch-back;Polska;0;-
41;Manualna;Uszkodzony;Kabriolet;Niemcy;0;-
42;Automatyczna;Nowy;Pick-up;Rosja;0;-
43;Automatyczna;Nowy;Hatch-back;Polska;0;-
44;Automatyczna;Nowy;Kombi;Wielka Brytania;0;-
45;Manualna;Nowy;Hatch-back;Niemcy;0;-
46;Manualna;Uszkodzony;Minivan;USA;1;-
47;Automatyczna;Uszkodzony;Kombi;Polska;1;-
48;Manualna;Nowy;Pick-up;Niemcy;0;-
49;Automatyczna;Uszkodzony;Hatch-back;USA;1;-
50;Automatyczna;Nowy;Minivan;USA;0;-
51;Manualna;U퓓wany;Kabriolet;Niemcy;1;-
52;Manualna;Nowy;Kombi;Wielka Brytania;1;-
53;Automatyczna;Uszkodzony;Minivan;Wielka Brytania;1;-
54;Automatyczna;Nowy;Hatch-back;Rosja;0;-
55;Manualna;Nowy;Pick-up;Polska;1;-
56;Manualna;U퓓wany;Kabriolet;Polska;0;-
57;Manualna;U퓓wany;Pick-up;Wielka Brytania;0;-
58;Manualna;U퓓wany;Hatch-back;Niemcy;1;-
59;Automatyczna;U퓓wany;Kombi;Niemcy;1;-
60;Automatyczna;Nowy;Kabriolet;Polska;0;-
61;Manualna;U퓓wany;Kombi;Polska;1;-
62;Automatyczna;Nowy;Hatch-back;Wielka Brytania;0;-
63;Manualna;Uszkodzony;Minivan;USA;0;-
64;Manualna;U퓓wany;Pick-up;Rosja;0;-
65;Automatyczna;Nowy;Minivan;Rosja;1;-
66;Manualna;U퓓wany;Minivan;Wielka Brytania;1;-
67;Automatyczna;Uszkodzony;Sedan;USA;0;-
68;Automatyczna;U퓓wany;Lift-back;Polska;1;-
69;Automatyczna;U퓓wany;Lift-back;Wielka Brytania;0;-
70;Manualna;Uszkodzony;Kombi;USA;0;-
71;Automatyczna;U퓓wany;Hatch-back;USA;0;-
72;Manualna;U퓓wany;Sedan;Wielka Brytania;0;-
73;Manualna;Uszkodzony;Lift-back;USA;0;-
74;Automatyczna;U퓓wany;Kombi;USA;0;-
75;Automatyczna;U퓓wany;Kabriolet;Wielka Brytania;0;-
76;Automatyczna;Uszkodzony;Hatch-back;Rosja;1;-
77;Manualna;Uszkodzony;Kabriolet;Wielka Brytania;1;-
78;Manualna;Uszkodzony;Sedan;Niemcy;0;-
79;Manualna;Uszkodzony;Sedan;Wielka Brytania;0;-
80;Manualna;Uszkodzony;Lift-back;Niemcy;0;-
81;Manualna;Nowy;Hatch-back;Wielka Brytania;1;-
82;Automatyczna;Uszkodzony;Kombi;Rosja;0;-
83;Automatyczna;Nowy;Kombi;Rosja;0;-
84;Automatyczna;Nowy;Pick-up;Polska;1;-
85;Automatyczna;Uszkodzony;Hatch-back;Niemcy;1;-
86;Automatyczna;Nowy;Pick-up;Niemcy;0;-
87;Automatyczna;Nowy;Kombi;Polska;1;-
88;Automatyczna;U퓓wany;Lift-back;Polska;0;-
89;Automatyczna;Nowy;Pick-up;USA;1;-
90;Automatyczna;U퓓wany;Pick-up;Rosja;1;-
91;Automatyczna;Nowy;Minivan;Polska;0;-
92;Manualna;U퓓wany;Kabriolet;Wielka Brytania;1;-
93;Automatyczna;Nowy;Lift-back;Rosja;0;-
94;Manualna;Uszkodzony;Pick-up;USA;1;-
95;Manualna;Uszkodzony;Minivan;Wielka Brytania;1;-
96;Manualna;Uszkodzony;Sedan;Rosja;0;-
97;Automatyczna;Uszkodzony;Sedan;Polska;0;-
98;Manualna;U퓓wany;Sedan;Polska;0;-
99;Manualna;Uszkodzony;Hatch-back;Niemcy;0;-
100;Automatyczna;Uszkodzony;Lift-back;USA;1;-
101;Automatyczna;Uszkodzony;Kombi;Rosja;0;-
102;Automatyczna;Nowy;Kabriolet;Niemcy;1;-
103;Automatyczna;U퓓wany;Pick-up;Niemcy;1;-
104;Automatyczna;Nowy;Pick-up;USA;0;-
105;Automatyczna;U퓓wany;Kabriolet;Rosja;0;-
106;Automatyczna;U퓓wany;Lift-back;Wielka Brytania;0;-
107;Manualna;Uszkodzony;Sedan;Wielka Brytania;0;-
108;Automatyczna;Nowy;Hatch-back;Polska;1;-
109;Automatyczna;Uszkodzony;Sedan;Niemcy;1;-
110;Automatyczna;Nowy;Sedan;Niemcy;1;-
111;Automatyczna;Nowy;Hatch-back;Wielka Brytania;1;-
112;Automatyczna;Uszkodzony;Kabriolet;USA;0;-
113;Automatyczna;U퓓wany;Kombi;Niemcy;0;-
114;Manualna;U퓓wany;Kombi;USA;1;-
115;Automatyczna;Nowy;Kabriolet;Niemcy;0;-
116;Manualna;Nowy;Kombi;Niemcy;0;-
117;Automatyczna;Uszkodzony;Pick-up;Polska;1;-
118;Automatyczna;Uszkodzony;Lift-back;USA;1;-
119;Automatyczna;Uszkodzony;Sedan;Rosja;0;-
120;Automatyczna;Uszkodzony;Kabriolet;Wielka Brytania;1;-
121;Automatyczna;Uszkodzony;Kabriolet;Rosja;0;-
122;Manualna;U퓓wany;Pick-up;USA;1;-
123;Automatyczna;Nowy;Pick-up;Polska;0;-
124;Manualna;Uszkodzony;Sedan;Niemcy;1;-
125;Manualna;Nowy;Kabriolet;Polska;1;-
126;Automatyczna;Nowy;Kabriolet;Niemcy;0;-
127;Manualna;Nowy;Hatch-back;Niemcy;1;-
128;Automatyczna;Uszkodzony;Lift-back;USA;1;-
129;Automatyczna;U퓓wany;Kabriolet;USA;1;-
130;Automatyczna;Uszkodzony;Minivan;Polska;0;-
131;Manualna;U퓓wany;Pick-up;Rosja;0;-
132;Manualna;U퓓wany;Sedan;Niemcy;1;-
133;Automatyczna;U퓓wany;Hatch-back;USA;1;-
134;Automatyczna;U퓓wany;Hatch-back;Wielka Brytania;1;-
135;Automatyczna;U퓓wany;Minivan;USA;1;-
136;Automatyczna;U퓓wany;Hatch-back;Niemcy;0;-
137;Automatyczna;U퓓wany;Kabriolet;Niemcy;0;-
138;Manualna;Nowy;Hatch-back;Niemcy;1;-
139;Manualna;Nowy;Pick-up;Wielka Brytania;1;-
140;Automatyczna;U퓓wany;Hatch-back;Rosja;0;-
141;Automatyczna;U퓓wany;Pick-up;USA;0;-
142;Automatyczna;U퓓wany;Kombi;Niemcy;1;-
143;Automatyczna;U퓓wany;Hatch-back;Niemcy;1;-
144;Automatyczna;Uszkodzony;Kombi;Polska;0;-
145;Manualna;U퓓wany;Sedan;USA;1;-
146;Automatyczna;Uszkodzony;Minivan;Niemcy;0;-
147;Manualna;Nowy;Lift-back;Niemcy;0;-
148;Manualna;Nowy;Kombi;USA;0;-
149;Automatyczna;Nowy;Minivan;Niemcy;0;-
150;Manualna;Nowy;Hatch-back;Polska;0;-
151;Automatyczna;Uszkodzony;Kombi;Wielka Brytania;1;-
152;Manualna;U퓓wany;Kombi;Wielka Brytania;1;-
153;Automatyczna;U퓓wany;Sedan;Wielka Brytania;1;-
154;Automatyczna;U퓓wany;Pick-up;Rosja;0;-
155;Manualna;Nowy;Lift-back;Polska;1;-
156;Automatyczna;Nowy;Pick-up;Wielka Brytania;1;-
157;Manualna;U퓓wany;Lift-back;Wielka Brytania;1;-
158;Automatyczna;Nowy;Sedan;USA;0;-
159;Automatyczna;Uszkodzony;Minivan;Niemcy;1;-
160;Manualna;Nowy;Sedan;Rosja;1;-
161;Automatyczna;U퓓wany;Pick-up;Rosja;0;-
162;Automatyczna;Uszkodzony;Hatch-back;Rosja;0;-
163;Automatyczna;Nowy;Minivan;Rosja;0;-
164;Manualna;Uszkodzony;Kombi;USA;1;-
165;Automatyczna;Uszkodzony;Sedan;Niemcy;0;-
166;Automatyczna;U퓓wany;Pick-up;USA;0;-
167;Automatyczna;Uszkodzony;Kabriolet;Wielka Brytania;0;-
168;Manualna;Nowy;Sedan;USA;0;-
169;Manualna;Uszkodzony;Kombi;Niemcy;0;-
170;Automatyczna;Uszkodzony;Hatch-back;Rosja;0;-
171;Manualna;Nowy;Minivan;USA;0;-
172;Manualna;Nowy;Kabriolet;Wielka Brytania;1;-
173;Automatyczna;Nowy;Minivan;Niemcy;1;-
174;Automatyczna;U퓓wany;Pick-up;Niemcy;1;-
175;Automatyczna;U퓓wany;Minivan;USA;1;-
176;Manualna;U퓓wany;Kabriolet;Niemcy;0;-
177;Automatyczna;U퓓wany;Hatch-back;Polska;0;-
178;Automatyczna;Nowy;Kombi;USA;1;-
179;Automatyczna;Uszkodzony;Sedan;Wielka Brytania;0;-
180;Manualna;U퓓wany;Kombi;Polska;0;-
181;Automatyczna;U퓓wany;Lift-back;Rosja;0;-
182;Automatyczna;Nowy;Sedan;Polska;0;-
183;Automatyczna;U퓓wany;Kombi;Rosja;1;-
184;Automatyczna;Uszkodzony;Hatch-back;Niemcy;0;-
185;Manualna;Nowy;Lift-back;Polska;0;-
186;Automatyczna;Uszkodzony;Minivan;Rosja;1;-
187;Automatyczna;U퓓wany;Lift-back;USA;0;-
188;Automatyczna;Uszkodzony;Sedan;Wielka Brytania;1;-
189;Automatyczna;Uszkodzony;Sedan;Rosja;0;-
190;Automatyczna;Uszkodzony;Kombi;Wielka Brytania;0;-
191;Automatyczna;U퓓wany;Hatch-back;Wielka Brytania;0;-
192;Manualna;Uszkodzony;Minivan;Rosja;0;-
193;Manualna;U퓓wany;Lift-back;Wielka Brytania;1;-
194;Automatyczna;Uszkodzony;Kombi;Niemcy;1;-
195;Automatyczna;Uszkodzony;Lift-back;Polska;0;-
196;Automatyczna;Uszkodzony;Minivan;Niemcy;1;-
197;Automatyczna;Nowy;Pick-up;USA;0;-
198;Automatyczna;U퓓wany;Kabriolet;Polska;0;-
199;Manualna;Uszkodzony;Sedan;Rosja;1;-
200;Automatyczna;Uszkodzony;Lift-back;Niemcy;0;-
201;Manualna;U퓓wany;Sedan;USA;1;-
202;Automatyczna;Uszkodzony;Minivan;Polska;1;-
203;Automatyczna;Nowy;Kombi;Wielka Brytania;1;-
204;Automatyczna;Nowy;Minivan;Niemcy;0;-
205;Manualna;Uszkodzony;Hatch-back;Rosja;0;-
206;Automatyczna;Nowy;Kombi;Rosja;1;-
207;Automatyczna;Uszkodzony;Lift-back;Wielka Brytania;1;-
208;Manualna;Uszkodzony;Kabriolet;Polska;1;-
209;Manualna;Uszkodzony;Sedan;Wielka Brytania;0;-
210;Automatyczna;Uszkodzony;Sedan;Rosja;1;-
211;Manualna;Nowy;Sedan;USA;1;-
212;Automatyczna;Uszkodzony;Pick-up;Polska;0;-
213;Manualna;Nowy;Hatch-back;Niemcy;1;-
214;Automatyczna;Nowy;Sedan;USA;1;-
215;Manualna;Nowy;Sedan;Rosja;0;-
216;Automatyczna;Uszkodzony;Sedan;Polska;0;-
217;Manualna;Uszkodzony;Lift-back;Niemcy;0;-
218;Manualna;Uszkodzony;Pick-up;Rosja;1;-
219;Automatyczna;Nowy;Hatch-back;Wielka Brytania;0;-
220;Manualna;Nowy;Lift-back;Polska;0;-
221;Automatyczna;U퓓wany;Lift-back;Polska;0;-
222;Manualna;Uszkodzony;Kabriolet;Polska;1;-
223;Manualna;Uszkodzony;Kabriolet;Niemcy;1;-
224;Automatyczna;U퓓wany;Minivan;Polska;0;-
225;Manualna;Nowy;Hatch-back;Wielka Brytania;0;-
226;Manualna;Uszkodzony;Pick-up;Niemcy;0;-
227;Automatyczna;Nowy;Pick-up;Niemcy;1;-
228;Automatyczna;Nowy;Lift-back;Rosja;0;-
